name
mobile-broadband-provider-info
modemmanager
moreutils
mousepad
mpc
mpd
mpv
mtpfs
mugshot
mupdf
mupdf-tools
mutt-wizard-git
nano
nano-syntax-highlighting
nautilus
ncmpcpp
neovim
network-manager-applet
networkmanager
networkmanager-openconnect
networkmanager-openvpn
networkmanager-pptp
networkmanager-vpnc
newsboat
nfs-utils
nodejs
noto-fonts
noto-fonts-emoji
npm
nss-mdns
ntfs-3g
ntp
numlockx
onlyoffice-desktopeditors
open-dyslexic-fonts
openresolv
openssh
os-prober
p7zip
package-query
pamac-gtk
pamixer
pandoc-cli
patch
pavucontrol
perl
perl-file-mimeinfo
pidgin
pkgconf
poppler-data
poppler-glib
powertop
prettier
pulseaudio-bluetooth
pulseaudio-ctl
pulseaudio-zeroconf
pulsemixer
python-dotenv
python-fastapi
python-fpdf
python-openpyxl
python-pandas
python-pip
python-pipx
python-pycups
python-pymysql
python-sqlalchemy
qmk
qpdfview
ranger
reiserfsprogs
rsync
s-nail
samba
sc-im
screenfetch
simple-mtpfs
slock
snapd
snapd-glib
socat
sof-firmware
spectre-meltdown-checker
steam
sudo
sxiv
sysfsutils
systemd
systemd-fsck-silent
systemd-sysvcompat
task-spooler
terminus-font
texinfo
thunar
thunar-archive-plugin
thunar-media-tags-plugin
thunar-volman
thunderbird
timeshift
timeshift-autosnap-manjaro
tlp
tmux
ttf-dejavu
ttf-droid
ttf-inconsolata
ttf-indic-otf
ttf-liberation
ttf-linux-libertine
tumbler
udiskie
udisks2
unace
unclutter
unrar
usb_modeswitch
usbutils
uvicorn
vi
viewnior
vlc
vulkan-intel
vulkan-radeon
wallpapers-2018
wallpapers-juhraya
wget
which
wpa_supplicant
xclip
xcompmgr
xcursor-simpleandsoft
xcursor-vanilla-dmz-aa
xdg-user-dirs
xdg-utils
xdotool
xf86-input-elographics
xf86-input-evdev
xf86-input-libinput
xf86-input-void
xf86-video-amdgpu
xf86-video-ati
xf86-video-intel
xf86-video-nouveau
xf86-video-vesa
xfburn
xfce4-appfinder
xfce4-battery-plugin
xfce4-clipman-plugin
xfce4-cpufreq-plugin
xfce4-cpugraph-plugin
xfce4-dict
xfce4-diskperf-plugin
xfce4-fsguard-plugin
xfce4-genmon-plugin
xfce4-mailwatch-plugin
xfce4-mount-plugin
xfce4-mpc-plugin
xfce4-netload-plugin
xfce4-notes-plugin
xfce4-notifyd
xfce4-panel
xfce4-power-manager
xfce4-pulseaudio-plugin
xfce4-screenshooter
xfce4-sensors-plugin
xfce4-session
xfce4-settings
xfce4-smartbookmark-plugin
xfce4-systemload-plugin
xfce4-taskmanager
xfce4-terminal
xfce4-time-out-plugin
xfce4-timer-plugin
xfce4-verve-plugin
xfce4-wavelan-plugin
xfce4-weather-plugin
xfce4-whiskermenu-plugin
xfce4-xkb-plugin
xfconf
xfdesktop
xfsprogs
xfwm4
xiccd
xorg-bdftopcf
xorg-docs
xorg-font-util
xorg-fonts-100dpi
xorg-fonts-75dpi
xorg-mkfontscale
xorg-server
xorg-server-devel
xorg-server-xephyr
xorg-server-xnest
xorg-server-xvfb
xorg-sessreg
xorg-smproxy
xorg-twm
xorg-x11perf
xorg-xbacklight
xorg-xcmsdb
xorg-xcursorgen
xorg-xdriinfo
xorg-xev
xorg-xgamma
xorg-xinit
xorg-xinput
xorg-xkbevd
xorg-xkbutils
xorg-xkill
xorg-xlsatoms
xorg-xlsclients
xorg-xpr
xorg-xrefresh
xorg-xsetroot
xorg-xvinfo
xorg-xwayland
xorg-xwd
xorg-xwininfo
xorg-xwud
xwallpaper
yamllint
yaourt
yay-bin
yelp
youtube-dl
zathura
zathura-pdf-mupdf
zensu
zsh-fast-syntax-highlighting-git
